Abenezra	42	-21.00	11.90	21.0	21000	36.12	35.99	25.22	19.92		3.22	2.226	12.00	1337.47	1.05	10.63		0.95	8.31	32.30	0.12	0.35	221.09	27.64	8.19	3.45	1.77	68.73	293.67	321.23	215.43	50.22	40.85	95.64	50.86	58.94	72.45	51.32	4.01	3.60	5.51	6.33	139.18	Upper Imbrian	4		GHM 2			VL1645  R1651	Abenezra
Abenezra A	23	-22.80	10.50	11.5	11500	19.78	21.57	14.36	9.39	3.31	2.68	1.853	7.19	332.79	0.82	6.42		0.29	3.39	8.64	0.08	0.24	141.59	17.70	5.24	2.21	1.13	21.67	117.59	128.86	58.08	27.40	22.70	48.89	24.52	27.82	33.20	24.18	0.00	2.16	0.00	3.27	19.40							NLF?	Abenezra A
Abenezra B	14	-20.80	10.10	7.0	7000	11.62	11.76	0.00	3.27	2.77	2.82	2.262	3.92	0.00	0.52	3.70		0.00	0.00	0.00	0.06	0.17	280.00	35.00	10.37	4.38	2.24	19.55	45.25	49.66	16.13	16.63	13.98	28.12	18.14	21.26	26.54	13.00	0.00	1.18	0.00	1.49	1.88							NLF?	Abenezra B
Abenezra C	44	-21.30	11.10	22.0	22000	37.84	37.44	26.34	21.11		3.26	2.257	12.48	1489.20	1.07	11.05		1.04	8.83	35.76	0.12	0.36	228.83	28.60	8.48	3.58	1.83	74.36	311.91	341.14	235.91	52.62	42.75	100.73	53.81	62.46	76.95	54.39	4.17	3.74	5.90	6.66	162.06							NLF?	Abenezra C
Abenezra D	8	-21.70	9.70	4.0	4000	6.64	6.72	0.00	1.22	1.25	1.60	1.336	2.24	20.48	0.30	2.10		0.00	0.00	0.00	0.04	0.12	160.00	20.00	5.93	2.50	1.28	3.73	12.48	13.71	3.08	9.47	8.10	15.07	8.83	10.08	12.13	6.46	0.00	0.67	0.00	0.72	0.22							NLF?	Abenezra D
Abenezra E	14	-21.40	9.40	7.0	7000	11.62	11.76	0.00	3.27	1.13	2.82	2.262	3.92	0.00	0.52	3.70		0.00	0.00	0.00	0.06	0.17	280.00	35.00	10.37	4.38	2.24	19.55	45.25	49.66	16.13	16.63	13.98	28.12	18.14	21.26	26.54	13.00	0.00	1.18	0.00	1.49	1.88							NLF?	Abenezra E
Abenezra F	7	-21.50	10.30	3.5	3500	5.81	5.88	0.00	0.96		1.40	1.178	1.96	13.72	0.26	1.84		0.00	0.00	0.00	0.04	0.11	140.00	17.50	5.19	2.19	1.12	2.44	8.90	9.79	2.01	8.28	7.11	12.99	7.44	8.44	10.06	5.46	0.00	0.59	0.00	0.61	0.13							NLF?	Abenezra F
Abenezra G	5	-20.50	11.00	2.5	2500	4.15	4.20	0.00	0.53		1.00	0.859	1.40	5.00	0.18	1.31		0.00	0.00	0.00	0.03	0.09	100.00	12.50	3.70	1.56	0.80	0.80	3.64	4.01	0.66	5.90	5.12	8.93	4.83	5.39	6.28	3.59	0.00	0.42	0.00	0.39	0.04							NLF?	Abenezra G
Abenezra H	4	-21.10	12.80	2.0	2000	3.32	3.36	0.00	0.36	0.58	0.79	0.696	1.12	2.56	0.15	1.04		0.00	0.00	0.00	0.02	0.07	80.00	10.00	2.96	1.25	0.64	0.37	1.95	2.15	0.31	4.72	4.12	6.96	3.62	4.00	4.59	2.72	0.00	0.34	0.00	0.30	0.02							NLF?	Abenezra H
Abenezra J	5	-19.90	10.70	2.5	2500	4.15	4.20	0.00	0.53		1.00	0.859	1.40	5.00	0.18	1.31		0.00	0.00	0.00	0.03	0.09	100.00	12.50	3.70	1.56	0.80	0.80	3.64	4.01	0.66	5.90	5.12	8.93	4.83	5.39	6.28	3.59	0.00	0.42	0.00	0.39	0.04							NLF?	Abenezra J
Abenezra P	44	-19.90	9.90	22.0	22000	37.84	37.44	26.34	21.11		3.26	2.257	12.48	1489.20	1.07	11.05		1.04	8.83	35.76	0.12	0.36	228.83	28.60	8.48	3.58	1.83	74.36	311.91	341.14	235.91	52.62	42.75	100.73	53.81	62.46	76.95	54.39	4.17	3.74	5.90	6.66	162.06							NLF?	Abenezra P
Abetti	2	20.10	27.80	0.8	750	1.25	1.26	0.00	0.06		0.30	0.277	0.42	0.14	0.05	0.39		0.00	0.00	0.00	0.01	0.04	30.00	3.75	1.11	0.47	0.24	0.01	0.10	0.11	0.01	1.76	1.58	2.33	1.03	1.08	1.16	0.80	0.00	0.13	0.00	0.08	0.00							IAU1976	Abetti
Abul Wafa	55	1.00	116.60	27.5	27500	47.30	45.26	32.45	27.90	4.05	3.49	2.416	15.09	2493.53	1.17	13.31		0.00	11.68	58.30	0.14	0.42	269.92	33.74	10.00	4.22	2.16	106.45	408.65	446.65	357.89	65.87	53.15	129.17	70.51	82.49	102.76	71.89	5.04	4.53	7.96	8.51	336.37	Nectarian	2		W&B09			IAU1970	Abul Wafa
Abul Wafa A	16	1.40	116.80	8.0	8000	13.28	15.85	10.23	4.14		2.41	2.565	5.28	0.00	0.60	4.24		0.00	0.00	0.00	0.06	0.19	108.25	13.53	4.01	1.69	0.87	9.50	59.56	65.34	23.18	19.02	15.93	32.63	15.80	17.70	20.74	15.36	0.00	1.58	0.00	2.19	5.92							AW82	Abul Wafa A
Abul Wafa Q	30	0.20	115.70	15.0	15000	25.80	27.04	18.41	13.08		2.91	2.009	9.01	614.79	0.92	8.02		0.49	5.20	15.46	0.09	0.28	172.36	21.54	6.38	2.69	1.38	37.23	181.81	199.07	106.92	35.80	29.42	65.74	33.83	38.75	46.85	33.70	3.01	2.70	3.15	4.37	46.28							AW82	Abul Wafa Q
Abulfeda	65	-13.80	13.90	32.5	32500	55.90	52.17	37.93	34.37	1.23	3.67	2.736	17.39	3667.81	1.25	15.31		0.00	14.27	84.05	0.16	0.47	305.44	38.18	11.31	4.77	2.44	136.59	490.70	536.06	479.60	77.92	62.57	155.59	86.33	101.59	127.60	88.58	5.81	5.22	9.79	10.23	581.09	Nectarian	2	Partly covered by Imbrian ejecta; typical 	GHM 1 PC			VL1645  R1651	Abulfeda
Abulfeda A	14	-16.40	10.80	7.0	7000	11.62	11.76	0.00	3.27	2.76	2.82	2.262	3.92	0.00	0.52	3.70		0.00	0.00	0.00	0.06	0.17	280.00	35.00	10.37	4.38	2.24	19.55	45.25	49.66	16.13	16.63	13.98	28.12	18.14	21.26	26.54	13.00	0.00	1.18	0.00	1.49	1.88							NLF?	Abulfeda A
Abulfeda B	15	-14.50	16.40	7.5	7500	12.45	15.00	9.63	3.69		2.36	2.414	5.00	0.00	0.56	3.97		0.00	0.00	0.00	0.06	0.18	300.00	37.50	11.11	4.69	2.40	23.62	52.24	57.32	19.48	17.82	14.96	30.36	14.61	16.33	19.08	14.17	0.00	1.50	0.00	2.04	4.79							NLF?	Abulfeda B
